index,loss
0,3.567976236343384
1,2.464444637298584
2,1.592916488647461
3,2.0470969676971436
4,2.2458362579345703
5,2.1973912715911865
6,2.271528720855713
7,3.6148593425750732
8,1.9622352123260498
9,2.052680492401123
10,2.093017816543579
11,1.976677417755127
12,3.3023719787597656
13,1.7513853311538696
14,3.683750629425049
15,3.7204480171203613
16,3.835437536239624
17,3.6705336570739746
18,4.526046276092529
19,1.8980072736740112
20,2.061089515686035
21,2.061876058578491
22,1.4132028818130493
23,3.833300828933716
24,1.9809575080871582
25,2.0772199630737305
26,3.5755863189697266
27,3.4084649085998535
28,1.8109217882156372
29,2.1515724658966064
30,2.094226121902466
31,3.501115083694458
32,2.997485399246216
33,3.6269054412841797
34,2.1101901531219482
35,2.2190308570861816
36,2.2353286743164062
37,3.3382434844970703
38,1.8170162439346313
39,3.1242377758026123
40,2.00559139251709
41,1.9842736721038818
42,1.448373556137085
43,3.6898317337036133
44,3.558281183242798
45,2.0783820152282715
46,2.1677632331848145
47,3.3922927379608154
48,4.22678804397583
49,1.8558619022369385
50,2.1697492599487305
51,3.443317413330078
52,1.2523549795150757
53,1.8579092025756836
54,3.6599769592285156
55,3.6016767024993896
56,3.706899404525757
57,2.179215431213379
58,1.8407483100891113
59,1.973151445388794
60,1.873948335647583
61,1.8376898765563965
62,1.1002049446105957
63,1.6468899250030518
64,1.8284353017807007
65,1.9640436172485352
66,3.4956133365631104
67,1.9777590036392212
68,1.6030222177505493
69,3.041548013687134
70,3.6563339233398438
71,3.6112992763519287
72,1.2773479223251343
73,3.463825225830078
74,3.6318788528442383
75,2.36309814453125
76,3.852377414703369
77,1.9892899990081787
78,1.8511875867843628
79,2.239819049835205
80,2.1471521854400635
81,3.648073196411133
82,3.3410167694091797
83,3.929189682006836
84,1.7796493768692017
85,2.402867317199707
86,3.9361860752105713
87,3.764524221420288
88,4.155375003814697
89,2.1079912185668945
90,2.103214740753174
91,2.147477865219116
92,3.123016357421875
93,1.8798824548721313
94,2.1203932762145996
95,3.488480567932129
96,2.314800977706909
97,2.1085870265960693
98,4.497509956359863
99,3.5431149005889893
100,3.936004877090454
101,3.7499561309814453
102,3.557032346725464
103,1.8042773008346558
104,1.9398601055145264
105,3.658485174179077
106,4.151725769042969
107,2.0684831142425537
108,4.227748394012451
109,3.907027006149292
110,1.886962652206421
111,3.6370677947998047
112,3.549316644668579
113,1.7128773927688599
114,3.740208864212036
115,3.6543638706207275
116,1.669134497642517
117,3.8763816356658936
118,3.9920248985290527
119,3.5921709537506104
120,1.824449062347412
121,1.8914285898208618
122,3.300161838531494
123,3.9787986278533936
124,1.739311933517456
125,1.8426008224487305
126,3.6051390171051025
127,3.7399425506591797
128,3.7636783123016357
129,3.369046449661255
130,3.646240711212158
131,2.084484338760376
132,1.5720182657241821
133,1.8209683895111084
134,1.890974760055542
135,3.4900083541870117
136,1.7124712467193604
137,1.8273389339447021
138,1.5104583501815796
139,1.6241096258163452
140,3.6911239624023438
141,3.58111572265625
142,3.4454686641693115
143,3.9827544689178467
144,3.66357421875
145,3.5045852661132812
146,1.6003566980361938
147,3.713047742843628
148,4.040804862976074
149,1.4149153232574463
150,3.749093770980835
151,1.8649437427520752
152,3.5272700786590576
153,4.039145469665527
154,3.756059408187866
155,3.5973329544067383
156,3.701261043548584
157,3.7975358963012695
158,3.829256296157837
159,3.4178476333618164
160,1.5984834432601929
161,1.9252238273620605
162,3.438615083694458
163,1.5059773921966553
164,3.4799089431762695
165,1.6618611812591553
166,1.5061677694320679
167,3.7141950130462646
168,3.908306837081909
169,1.2924175262451172
170,1.831123948097229
