index,logodds_difference,correct,total_logprob
0,-0.19399261474609375,0,-0.7302540838718414
1,-0.250823974609375,1,-0.8220024704933167
2,0.11320498585700989,0,-0.9724571704864502
3,-0.20624542236328125,1,-1.2545276880264282
4,-0.08402252197265625,0,-0.8458183705806732
5,-0.2186584174633026,1,-0.8451883494853973
6,-0.02477264404296875,0,-1.0655863285064697
7,-0.291481077671051,1,-1.0678108632564545
8,-0.5209274291992188,0,-0.8833490014076233
9,-0.11095428466796875,0,-1.0596940517425537
10,-0.1531524658203125,1,-1.0350970029830933
11,-0.176910400390625,0,-0.8019252121448517
12,0.24871826171875,1,-0.8383552134037018
13,-0.24974054098129272,1,-0.8102651536464691
14,-0.0329437255859375,0,-0.8207990825176239
15,-0.07498931884765625,1,-0.9500556588172913
16,-0.291068971157074,1,-1.6459027528762817
17,-0.17635345458984375,0,-1.355314552783966
18,0.024658203125,0,-1.0356009006500244
19,-0.16660308837890625,1,-1.032825529575348
20,-0.3856506645679474,0,-1.3369198441505432
21,-0.6061630249023438,1,-1.0865745544433594
22,-0.038848876953125,1,-1.0645294487476349
23,-0.1154022216796875,0,-1.1098737120628357
24,-0.02080535888671875,0,-1.1142252087593079
25,-0.19598382711410522,0,-1.0345182120800018
26,-0.257652223110199,1,-0.6758744120597839
27,-0.06082916259765625,0,-1.3130195140838623
28,-0.24506378173828125,0,-0.9306411743164062
29,-0.40911865234375,1,-0.9729236364364624
30,-0.9720688164234161,0,-0.9816720187664032
31,0.31038665771484375,0,-0.9613356590270996
32,0.3543853759765625,0,-0.6566116809844971
33,-0.28987884521484375,1,-0.7526809275150299
34,0.0283355712890625,0,-1.0548635721206665
35,-0.11136627197265625,1,-1.0428802371025085
36,0.29955291748046875,0,-0.8769170641899109
37,-0.6123809516429901,1,-0.9887417554855347
38,0.24051666259765625,0,-1.4230530261993408
39,-0.1783905029296875,1,-1.1426564455032349
