index,loss,correct,total_logprob
0,0.4684986174106598,1,-1.8153856992721558
1,,,
2,,,
1,0.39165452122688293,1,-1.6819531917572021
2,,,
3,,,
2,0.9781578779220581,0,-1.7188595533370972
3,,,
4,,,
3,0.4669129252433777,1,-1.8242170810699463
4,,,
5,,,
4,0.3885088860988617,1,-1.6908031702041626
5,,,
6,,,
5,0.9776294827461243,0,-1.7219297885894775
6,,,
7,,,
6,0.44143372774124146,1,-1.8353900909423828
7,,,
8,,,
7,0.3659433424472809,1,-1.697611689567566
8,,,
9,,,
8,1.0160430669784546,0,-1.7257558107376099
9,,,
10,,,
9,0.4596763849258423,1,-1.8710421323776245
10,,,
11,,,
10,0.38256514072418213,1,-1.7397819757461548
11,,,
12,,,
11,0.9819469451904297,0,-1.766779899597168
12,,,
13,,,
12,0.44628238677978516,1,-1.8449764251708984
13,,,
14,,,
13,0.3747284710407257,1,-1.7156436443328857
14,,,
15,,,
14,1.011426329612732,0,-1.738627314567566
15,,,
16,,,
15,0.4626390337944031,1,-1.8630197048187256
16,,,
17,,,
16,0.3870604634284973,1,-1.7265853881835938
17,,,
18,,,
17,0.9852436780929565,0,-1.7708522081375122
18,,,
19,,,
18,0.4582620859146118,1,-1.8730581998825073
19,,,
20,,,
19,0.3812192380428314,1,-1.7349210977554321
20,,,
21,,,
20,0.9889165759086609,0,-1.7740745544433594
21,,,
22,,,
21,0.43207278847694397,1,-1.8701306581497192
22,,,
23,,,
22,0.35816246271133423,1,-1.7292022705078125
23,,,
24,,,
23,1.0283691883087158,0,-1.7644991874694824
24,,,
25,,,
24,0.44563519954681396,1,-1.9050871133804321
25,,,
26,,,
25,0.36970457434654236,1,-1.7696315050125122
26,,,
27,,,
26,1.0027835369110107,0,-1.80275559425354
27,,,
28,,,
27,0.4338328540325165,1,-1.8795392513275146
28,,,
29,,,
28,0.36354169249534607,1,-1.746604323387146
29,,,
30,,,
29,1.0301258563995361,0,-1.7742531299591064
30,,,
31,,,
30,0.46640652418136597,1,-1.8479053974151611
31,,,
32,,,
31,0.38694995641708374,1,-1.720571756362915
32,,,
33,,,
32,0.981485903263092,0,-1.7464678287506104
33,,,
34,,,
33,0.4675113558769226,1,-1.8570961952209473
34,,,
35,,,
34,0.38316091895103455,1,-1.7311650514602661
35,,,
36,,,
35,0.9720349311828613,0,-1.748715877532959
36,,,
37,,,
36,0.4365282654762268,1,-1.8756420612335205
37,,,
38,,,
37,0.3599640130996704,1,-1.7422622442245483
38,,,
39,,,
38,1.0218210220336914,0,-1.760221004486084
39,,,
40,,,
39,0.44864827394485474,1,-1.9114162921905518
40,,,
41,,,
40,0.37019091844558716,1,-1.78192138671875
41,,,
42,,,
41,0.9978502988815308,0,-1.7995985746383667
42,,,
43,,,
42,0.4392549991607666,1,-1.8882677555084229
43,,,
44,,,
43,0.3656994104385376,1,-1.7611960172653198
44,,,
45,,,
44,1.020202875137329,0,-1.7738704681396484
45,,,
46,,,
45,0.4451363682746887,1,-1.8240365982055664
46,,,
47,,,
46,0.3627346456050873,1,-1.6877859830856323
47,,,
48,,,
47,1.0126361846923828,0,-1.7233409881591797
48,,,
49,,,
48,0.44129785895347595,1,-1.8356422185897827
49,,,
50,,,
49,0.3594989776611328,1,-1.700451135635376
