index,logodds,correct,total_logprob
0,-2.240788459777832,1,-0.3023931682109833
1,-1.6476459503173828,1,-0.7524077892303467
2,-1.07257080078125,0,-0.31728118658065796
3,-1.0720243453979492,0,-0.7357500195503235
4,-1.5477190017700195,1,-0.529179573059082
5,-0.9006624221801758,1,-0.7724149227142334
6,-0.11860942840576172,0,-0.7065246105194092
7,-0.28148460388183594,0,-0.7145337462425232
8,-1.926142692565918,1,-0.34729647636413574
9,-1.183119773864746,1,-0.6761255264282227
10,-1.1753015518188477,0,-0.294682115316391
11,-1.0088739395141602,0,-0.5972307324409485
12,-1.321136474609375,1,-0.6993253827095032
13,-0.6313438415527344,1,-1.233738660812378
14,-0.6892194747924805,0,-0.5069481134414673
15,-0.5721778869628906,0,-1.0581598281860352
16,-0.4327421188354492,1,-0.62868332862854
17,-0.3851137161254883,1,-1.0465201139450073
18,-0.5869016647338867,0,-0.5115090608596802
19,-0.5444574356079102,0,-0.8824234008789062
20,-0.49318981170654297,1,-0.6315855979919434
21,0.023193359375,0,-0.9761950969696045
22,0.2555122375488281,1,-0.5622294545173645
23,-0.009090423583984375,0,-0.8214676380157471
24,-0.5794611573219299,0,-0.5292180776596069
25,-0.015886306762695312,0,-0.947300910949707
26,0.08606433868408203,1,-0.45941710472106934
27,-0.2606964111328125,0,-0.5848333239555359
28,-1.8355674743652344,1,-0.388640820980072
29,-1.2516860961914062,1,-0.8811227083206177
30,-1.022038459777832,0,-0.3687499761581421
31,-0.9069585800170898,0,-0.6126772165298462
32,-1.2851123809814453,1,-1.0327212810516357
33,-0.97686767578125,1,-1.270824909210205
34,-0.13600826263427734,0,-0.5466305017471313
35,-0.4838428795337677,0,-0.6508046388626099
36,0.4620542526245117,0,-0.7549770474433899
37,0.28294849395751953,0,-0.8124464154243469
38,0.03818225860595703,1,-0.43299365043640137
39,-0.4287729263305664,0,-0.6370663642883301
