index,logodds,correct,total_logprob
0,-0.1048126220703125,1,-0.6222413778305054
1,0.0348663330078125,0,-0.8787927031517029
2,0.5259780883789062,1,-0.6665717363357544
3,0.2524566650390625,1,-0.9977178573608398
4,0.5732803344726562,0,-0.8325150012969971
5,0.469757080078125,0,-1.136702537536621
6,0.7444000244140625,1,-1.3620835542678833
7,0.5846405029296875,1,-1.3047343492507935
8,0.1383209228515625,0,-0.7142770290374756
9,0.2121734619140625,0,-0.9871649146080017
10,0.5005111694335938,1,-0.6972630620002747
11,0.3199310302734375,1,-1.0014352798461914
12,0.5332870483398438,0,-0.9307113885879517
13,0.5323333740234375,0,-1.2576364278793335
14,0.9210662841796875,1,-0.930006742477417
15,0.666290283203125,1,-1.25294029712677
16,-0.10590362548828125,1,-0.9064260721206665
17,0.256561279296875,0,-0.8489705324172974
18,-0.2548065185546875,0,-1.0604490041732788
19,-0.34047698974609375,0,-1.0150606632232666
20,-0.2648162841796875,1,-1.1150600910186768
21,-0.08849334716796875,1,-0.9445785284042358
22,-0.10259628295898438,0,-0.7900859117507935
23,-0.253753662109375,0,-0.8218063712120056
24,0.352081298828125,1,-0.7217575311660767
25,0.5255661010742188,1,-0.8964349031448364
26,0.8680571913719177,1,-0.7161069512367249
27,0.6730727553367615,1,-0.8319053053855896
28,0.2611236572265625,0,-0.7163770794868469
29,0.2672119140625,0,-0.9747238159179688
30,0.30091094970703125,1,-0.7766703963279724
31,0.1717071533203125,1,-1.1426937580108643
32,-0.5362472534179688,1,-1.7767350673675537
33,-0.13732147216796875,1,-1.377849817276001
34,-0.217987060546875,0,-1.4346189498901367
35,-0.27126312255859375,0,-1.1729501485824585
36,0.5428314208984375,0,-1.0123449563980103
37,0.47762298583984375,0,-1.0000840425491333
38,0.6324386596679688,1,-1.0473452806472778
39,0.4677886962890625,1,-0.9165971279144287
