index,logodds,correct,total_logprob
0,-1.178802490234375,1,-0.43121394515037537
1,-0.8899688720703125,1,-0.6247820854187012
2,-0.6667709946632385,0,-0.5148622989654541
3,-0.9162521362304688,0,-0.5467612743377686
4,-0.7200927734375,1,-0.578667163848877
5,-0.5966949462890625,1,-0.9532290697097778
6,0.0588836669921875,1,-1.2010838985443115
7,-0.26613616943359375,0,-1.0208085775375366
8,-1.1316299438476562,1,-0.3794594407081604
9,-1.0249557495117188,1,-0.6542737483978271
10,-0.92388916015625,0,-0.46277132630348206
11,-1.0410614013671875,0,-0.6472742557525635
12,-0.600311279296875,1,-0.5275864601135254
13,-0.5870132446289062,1,-0.8341413736343384
14,-0.39815521240234375,0,-0.6143013834953308
15,-0.6675491333007812,0,-0.782128095626831
16,0.44347378611564636,0,-0.6780902147293091
17,0.1737060546875,0,-0.8931233882904053
18,-0.6668777465820312,0,-0.6935300827026367
19,-0.842399537563324,0,-0.8119654059410095
20,-0.0960693359375,1,-1.5094726085662842
21,-0.35773468017578125,1,-1.2383909225463867
22,0.11527252197265625,1,-1.5356390476226807
23,-0.345001220703125,0,-1.19907808303833
24,0.29192352294921875,1,-1.0621256828308105
25,0.31029510498046875,1,-1.306403636932373
26,0.58941650390625,1,-1.0460652112960815
27,0.291168212890625,1,-1.2103538513183594
28,-1.001312255859375,1,-0.42102810740470886
29,-0.8706817626953125,1,-0.6573046445846558
30,-0.6588668823242188,0,-0.5446448922157288
31,-0.746833860874176,0,-0.6056312322616577
32,-0.7707061171531677,1,-1.1890537738800049
33,-0.5251388549804688,1,-1.3662314414978027
34,-0.24027252197265625,0,-1.0714399814605713
35,-0.305816650390625,0,-1.38437819480896
36,0.2496185302734375,0,-0.8600900173187256
37,0.657440185546875,0,-1.2042756080627441
38,0.0963134765625,1,-0.95353102684021
39,0.10018157958984375,1,-1.3276931047439575
