index,logodds,correct,total_logprob
0,-1.1922988891601562,1,-0.43084317445755005
1,-0.905754029750824,1,-0.6245089769363403
2,-0.6796722412109375,0,-0.5152595043182373
3,-0.9298858642578125,0,-0.5459575653076172
4,-0.7326812744140625,1,-0.57929527759552
5,-0.6109619140625,1,-0.9549058675765991
6,0.0466461181640625,1,-1.2021031379699707
7,-0.2803497314453125,0,-1.0222556591033936
8,-1.1445236206054688,1,-0.37882158160209656
9,-1.0396881103515625,1,-0.6533594131469727
10,-0.9371261596679688,0,-0.4618578255176544
11,-1.054229736328125,0,-0.6470022201538086
12,-0.6135177612304688,1,-0.5271135568618774
13,-0.6020203232765198,1,-0.8332863450050354
14,-0.41082763671875,0,-0.6141268014907837
15,-0.6805648803710938,0,-0.7815340757369995
16,0.4306793212890625,0,-0.6796791553497314
17,0.16062164306640625,0,-0.8954506516456604
18,-0.6792068481445312,0,-0.6930159330368042
19,-0.8556747436523438,0,-0.8120487928390503
