index,loss,correct,total_logprob
50,,,
49,0.24834422767162323,1,-0.2700157165527344
50,,,
51,,,
50,1.3229292631149292,0,-0.3354518413543701
51,,,
52,,,
51,0.20374056696891785,1,-0.2080904245376587
52,,,
53,,,
52,0.2454918473958969,1,-0.265137255191803
53,,,
54,,,
53,1.3507397174835205,0,-0.32960355281829834
54,,,
55,,,
54,0.20403261482715607,1,-0.20154328644275665
55,,,
56,,,
55,0.2458779662847519,1,-0.25753432512283325
56,,,
57,,,
56,1.3542544841766357,0,-0.31891360878944397
57,,,
58,,,
57,0.20736749470233917,1,-0.20441634953022003
58,,,
59,,,
58,0.2505629360675812,1,-0.2598470151424408
59,,,
60,,,
59,1.3431013822555542,0,-0.3192473351955414
60,,,
61,,,
60,0.21336056292057037,1,-0.20084623992443085
61,,,
62,,,
61,0.2520461678504944,1,-0.26100289821624756
62,,,
63,,,
62,1.3402438163757324,0,-0.32048892974853516
63,,,
64,,,
63,0.20895880460739136,1,-0.1896929144859314
64,,,
65,,,
64,0.24919885396957397,1,-0.2476329207420349
65,,,
66,,,
65,1.346665382385254,0,-0.30640554428100586
66,,,
67,,,
66,0.19994212687015533,1,-0.18110527098178864
67,,,
68,,,
67,0.2400900423526764,1,-0.23589962720870972
68,,,
69,,,
68,1.3839060068130493,0,-0.293986052274704
69,,,
70,,,
69,0.20108814537525177,1,-0.17643310129642487
70,,,
71,,,
70,0.24292315542697906,1,-0.22990526258945465
71,,,
72,,,
71,1.3877692222595215,0,-0.2846941351890564
72,,,
73,,,
72,0.20098187029361725,1,-0.17689774930477142
73,,,
74,,,
73,0.2436443418264389,1,-0.22968922555446625
74,,,
75,,,
74,1.385636806488037,0,-0.28362584114074707
75,,,
76,,,
75,0.20199881494045258,1,-0.2062956541776657
76,,,
77,,,
76,0.2432437241077423,1,-0.27111682295799255
77,,,
78,,,
77,1.4061803817749023,0,-0.3300981819629669
78,,,
79,,,
78,0.1975570172071457,1,-0.19816188514232635
79,,,
80,,,
79,0.24006518721580505,1,-0.2610919177532196
80,,,
81,,,
80,1.4157445430755615,0,-0.3204742968082428
81,,,
82,,,
81,0.18933476507663727,1,-0.18972833454608917
82,,,
83,,,
82,0.23143333196640015,1,-0.24920910596847534
83,,,
84,,,
83,1.452148199081421,0,-0.30777478218078613
84,,,
85,,,
84,0.19107800722122192,1,-0.1849151849746704
85,,,
86,,,
85,0.23470914363861084,1,-0.24285167455673218
86,,,
87,,,
86,1.4555473327636719,0,-0.29792773723602295
87,,,
88,,,
87,0.19038312137126923,1,-0.18525256216526031
88,,,
89,,,
88,0.2346278727054596,1,-0.24226567149162292
89,,,
90,,,
89,1.455422282218933,0,-0.29640161991119385
90,,,
91,,,
90,0.202975794672966,1,-0.21183814108371735
91,,,
92,,,
91,0.24529775977134705,1,-0.27657297253608704
92,,,
93,,,
92,1.363581657409668,0,-0.3415652811527252
93,,,
94,,,
93,0.20861293375492096,1,-0.2047254592180252
94,,,
95,,,
94,0.2517125606536865,1,-0.2671496868133545
95,,,
96,,,
95,1.3305809497833252,0,-0.3319076895713806
96,,,
97,,,
96,0.19180548191070557,1,-0.19000446796417236
97,,,
98,,,
97,0.23478229343891144,1,-0.24878166615962982
98,,,
99,,,
98,1.4039276838302612,0,-0.3115328252315521
99,,,
100,,,
99,0.1927882432937622,1,-0.1846204400062561
100,,,
101,,,
100,0.23705260455608368,1,-0.24165429174900055
101,,,
102,,,
101,1.4094760417938232,0,-0.3013584613800049
102,,,
103,,,
102,0.19198377430438995,1,-0.18536166846752167
103,,,
104,,,
103,0.23675855994224548,1,-0.24150168895721436
104,,,
105,,,
104,1.4127793312072754,0,-0.3000960350036621
105,,,
106,,,
105,0.2161710262298584,1,-0.22537976503372192
106,,,
107,,,
106,0.26033827662467957,1,-0.2887100279331207
107,,,
108,,,
107,1.3178495168685913,0,-0.35475608706474304
108,,,
109,,,
108,0.20905232429504395,1,-0.2079598605632782
109,,,
110,,,
109,0.2539692223072052,1,-0.26789024472236633
110,,,
111,,,
110,1.3362541198730469,0,-0.33049142360687256
111,,,
112,,,
111,0.20212894678115845,1,-0.20116236805915833
112,,,
113,,,
112,0.24746830761432648,1,-0.25907784700393677
113,,,
114,,,
113,1.3623013496398926,0,-0.322709321975708
114,,,
115,,,
114,0.20179219543933868,1,-0.19469593465328217
115,,,
116,,,
115,0.2476261407136917,1,-0.2507082223892212
116,,,
117,,,
116,1.3745355606079102,0,-0.3106972575187683
117,,,
118,,,
117,0.2023690789937973,1,-0.1959696263074875
118,,,
119,,,
118,0.24880258738994598,1,-0.25095683336257935
119,,,
120,,,
119,1.3701437711715698,0,-0.3103960454463959
120,,,
121,,,
120,0.2195018082857132,1,-0.2020915001630783
121,,,
122,,,
121,0.25856083631515503,1,-0.26343268156051636
122,,,
123,,,
122,1.313450574874878,0,-0.32089388370513916
123,,,
124,,,
123,0.21576201915740967,1,-0.19250044226646423
124,,,
125,,,
124,0.25602322816848755,1,-0.25162190198898315
125,,,
126,,,
125,1.318038821220398,0,-0.3089486062526703
126,,,
127,,,
126,0.20943914353847504,1,-0.18429230153560638
127,,,
128,,,
127,0.2497859001159668,1,-0.2410658597946167
128,,,
129,,,
128,1.3407528400421143,0,-0.29919642210006714
129,,,
130,,,
129,0.20803411304950714,1,-0.17834095656871796
130,,,
131,,,
130,0.2500309348106384,1,-0.23326778411865234
131,,,
132,,,
131,1.3548729419708252,0,-0.28675901889801025
132,,,
133,,,
132,0.20718969404697418,1,-0.17883236706256866
133,,,
134,,,
133,0.2499140352010727,1,-0.23291505873203278
134,,,
135,,,
134,1.3580265045166016,0,-0.2854248285293579
135,,,
136,,,
135,0.20706148445606232,1,-0.20675556361675262
136,,,
137,,,
136,0.24833473563194275,1,-0.2723477780818939
137,,,
138,,,
137,1.3838038444519043,0,-0.3289209008216858
138,,,
139,,,
138,0.2029598355293274,1,-0.200262188911438
139,,,
140,,,
139,0.2452312409877777,1,-0.26401427388191223
140,,,
141,,,
140,1.3923146724700928,0,-0.3214995265007019
141,,,
142,,,
141,0.19748090207576752,1,-0.19230042397975922
142,,,
143,,,
142,0.23955261707305908,1,-0.2534278631210327
143,,,
144,,,
143,1.4138249158859253,0,-0.311637282371521
144,,,
145,,,
144,0.19668421149253845,1,-0.18642517924308777
145,,,
146,,,
145,0.2401989847421646,1,-0.24559806287288666
146,,,
147,,,
146,1.4279825687408447,0,-0.29906776547431946
147,,,
148,,,
147,0.1953728199005127,1,-0.18662264943122864
148,,,
149,,,
148,0.23941366374492645,1,-0.24465130269527435
149,,,
150,,,
149,1.4328495264053345,0,-0.2969489097595215
150,,,
151,,,
150,0.20836275815963745,1,-0.21286919713020325
151,,,
152,,,
151,0.2506709396839142,1,-0.278413861989975
152,,,
153,,,
152,1.343770980834961,0,-0.34012752771377563
153,,,
154,,,
153,0.21485158801078796,1,-0.20763126015663147
154,,,
155,,,
154,0.2577657699584961,1,-0.271062433719635
155,,,
156,,,
155,1.3088171482086182,0,-0.3325374126434326
156,,,
157,,,
156,0.20005886256694794,1,-0.19260309636592865
157,,,
158,,,
157,0.2429972141981125,1,-0.25307005643844604
158,,,
159,,,
158,1.3683345317840576,0,-0.31471800804138184
159,,,
160,,,
159,0.19910743832588196,1,-0.1862809956073761
160,,,
161,,,
160,0.24332942068576813,1,-0.24452395737171173
161,,,
162,,,
161,1.3824105262756348,0,-0.30180513858795166
162,,,
163,,,
162,0.19762012362480164,1,-0.1869463324546814
163,,,
164,,,
163,0.24228136241436005,1,-0.244100883603096
164,,,
165,,,
164,1.3904224634170532,0,-0.30016815662384033
165,,,
166,,,
165,0.22298990190029144,1,-0.22778655588626862
166,,,
167,,,
166,0.26598885655403137,1,-0.29187294840812683
167,,,
168,,,
167,1.292179822921753,0,-0.35475340485572815
168,,,
169,,,
168,0.21626465022563934,1,-0.21206368505954742
169,,,
170,,,
169,0.25988590717315674,1,-0.27286577224731445
170,,,
171,,,
170,1.309139609336853,0,-0.332562118768692
171,,,
172,,,
171,0.21184472739696503,1,-0.205052450299263
172,,,
173,,,
172,0.2565067708492279,1,-0.264710932970047
173,,,
174,,,
173,1.321780800819397,0,-0.3269599378108978
174,,,
175,,,
174,0.20944562554359436,1,-0.19788146018981934
175,,,
176,,,
175,0.2542070150375366,1,-0.2551475167274475
176,,,
177,,,
176,1.341445803642273,0,-0.312855988740921
177,,,
178,,,
177,0.20908956229686737,1,-0.198825404047966
178,,,
179,,,
178,0.25436389446258545,1,-0.2549128532409668
179,,,
180,,,
179,1.34333336353302,0,-0.3116357624530792
180,,,
181,,,
180,0.2192191183567047,1,-0.2113603949546814
181,,,
182,,,
181,0.25576314330101013,1,-0.27568796277046204
182,,,
183,,,
182,1.3105230331420898,0,-0.3363792896270752
183,,,
184,,,
183,0.21556812524795532,1,-0.20052528381347656
184,,,
185,,,
184,0.2532147169113159,1,-0.2619591951370239
185,,,
186,,,
185,1.3157072067260742,0,-0.3227495551109314
186,,,
187,,,
186,0.2099669873714447,1,-0.1945820152759552
187,,,
188,,,
187,0.24719658493995667,1,-0.25353744626045227
188,,,
189,,,
188,1.3378891944885254,0,-0.31524658203125
189,,,
190,,,
189,0.2093614935874939,1,-0.18672391772270203
190,,,
191,,,
190,0.2484385222196579,1,-0.24398435652256012
191,,,
192,,,
191,1.344097375869751,0,-0.3013531267642975
192,,,
193,,,
192,0.20922815799713135,1,-0.18717393279075623
193,,,
194,,,
193,0.2491048127412796,1,-0.24348561465740204
194,,,
195,,,
194,1.3472405672073364,0,-0.29905882477760315
195,,,
196,,,
195,0.20548579096794128,1,-0.2153383493423462
196,,,
197,,,
196,0.24448366463184357,1,-0.28394991159439087
197,,,
198,,,
197,1.3886144161224365,0,-0.34303560853004456
198,,,
199,,,
198,0.20109789073467255,1,-0.20809556543827057
199,,,
200,,,
199,0.24086995422840118,1,-0.2741100788116455
200,,,
201,,,
200,1.399702548980713,0,-0.33437579870224
201,,,
202,,,
201,0.1966666728258133,1,-0.2024894803762436
202,,,
203,,,
202,0.23570112884044647,1,-0.26568013429641724
203,,,
204,,,
203,1.4190640449523926,0,-0.32671284675598145
204,,,
205,,,
204,0.19648990035057068,1,-0.19484031200408936
205,,,
206,,,
205,0.23728761076927185,1,-0.25638464093208313
206,,,
207,,,
206,1.425893783569336,0,-0.3129715323448181
207,,,
208,,,
207,0.19547714293003082,1,-0.1947552114725113
208,,,
209,,,
208,0.2367181032896042,1,-0.25494158267974854
209,,,
210,,,
209,1.4324856996536255,0,-0.30948594212532043
210,,,
211,,,
210,0.2088167816400528,1,-0.22374658286571503
211,,,
212,,,
211,0.2490333616733551,1,-0.29231855273246765
212,,,
213,,,
212,1.3352398872375488,0,-0.3580261766910553
213,,,
214,,,
213,0.2165238857269287,1,-0.2177518904209137
214,,,
215,,,
214,0.25693437457084656,1,-0.2834790050983429
215,,,
216,,,
215,1.2985055446624756,0,-0.3485925793647766
216,,,
217,,,
216,0.20127063989639282,1,-0.20401611924171448
217,,,
218,,,
217,0.24141311645507812,1,-0.2665923237800598
218,,,
219,,,
218,1.3607516288757324,0,-0.33216768503189087
219,,,
220,,,
219,0.20088709890842438,1,-0.19610299170017242
220,,,
221,,,
220,0.24258360266685486,1,-0.25664031505584717
221,,,
222,,,
