index,loss,correct,total_logprob
0,0.4436296224594116,1,-0.5852031707763672
1,,,
2,,,
1,0.3830413520336151,1,-0.6370717287063599
2,,,
3,,,
2,1.0408989191055298,0,-0.5762209892272949
3,,,
4,,,
3,0.4418419599533081,1,-0.5730741024017334
4,,,
5,,,
4,0.38273555040359497,1,-0.6260911822319031
5,,,
6,,,
5,1.038861870765686,0,-0.5629950761795044
6,,,
7,,,
6,0.43337851762771606,1,-0.5688461661338806
7,,,
8,,,
7,0.37942591309547424,1,-0.6220444440841675
8,,,
9,,,
8,1.0518927574157715,0,-0.5611699819564819
9,,,
10,,,
9,0.4421662986278534,1,-0.5739376544952393
10,,,
11,,,
10,0.3851924240589142,1,-0.6286358833312988
11,,,
12,,,
11,1.0397987365722656,0,-0.5656751394271851
12,,,
13,,,
12,0.4333973824977875,1,-0.5749002695083618
13,,,
14,,,
13,0.378780722618103,1,-0.6290680170059204
14,,,
15,,,
14,1.0536062717437744,0,-0.5648537874221802
15,,,
16,,,
15,0.4444037079811096,1,-0.6024733185768127
16,,,
17,,,
16,0.3870522081851959,1,-0.6583527326583862
17,,,
18,,,
17,1.0329804420471191,0,-0.6001039147377014
18,,,
19,,,
18,0.43881478905677795,1,-0.5914057493209839
19,,,
20,,,
19,0.3841424286365509,1,-0.6485887765884399
20,,,
21,,,
20,1.0389752388000488,0,-0.5874693393707275
21,,,
22,,,
21,0.43099576234817505,1,-0.5890910029411316
22,,,
23,,,
22,0.3808348476886749,1,-0.6462254524230957
23,,,
24,,,
23,1.0518877506256104,0,-0.5866742134094238
24,,,
25,,,
24,0.4377102255821228,1,-0.5929206013679504
25,,,
26,,,
25,0.38502421975135803,1,-0.6517473459243774
26,,,
27,,,
26,1.0424047708511353,0,-0.5901820659637451
27,,,
28,,,
27,0.4285145103931427,1,-0.5933947563171387
28,,,
29,,,
28,0.3783479630947113,1,-0.6516780853271484
29,,,
30,,,
29,1.056794285774231,0,-0.5890657901763916
30,,,
31,,,
