index,logodds_difference,correct,total_logprob
0,3.8148646354675293,0,-0.8244266211986542
1,0.510556697845459,1,-0.7332215905189514
2,2.677170753479004,1,-0.6295582056045532
3,0.9486396312713623,1,-0.7121340334415436
4,2.014542579650879,1,-0.8970592319965363
5,0.05087757110595703,1,-0.9030548334121704
6,1.4271836280822754,0,-1.2586585879325867
7,0.1947423219680786,1,-0.9827841520309448
8,2.524567127227783,1,-0.8696509599685669
9,0.6973268985748291,1,-0.7824112176895142
10,2.1769895553588867,1,-0.7700491845607758
11,0.33563852310180664,1,-0.867304652929306
12,1.0682584047317505,1,-0.9867821335792542
13,0.019824981689453125,1,-1.0085435807704926
14,2.9020466804504395,0,-1.1201521754264832
15,0.7557741403579712,1,-0.7470771372318268
16,1.7687344551086426,1,-1.0770854949951172
17,-0.38033032417297363,1,-0.7859986126422882
18,0.9445838928222656,0,-0.9362725615501404
19,-0.9295945167541504,0,-0.8107383847236633
20,0.8546690940856934,1,-0.653191089630127
21,-0.10732090473175049,1,-0.923050194978714
22,2.6281847953796387,1,-1.3881490230560303
23,0.40323400497436523,1,-1.578501284122467
24,1.464400291442871,1,-0.6882598996162415
25,-0.1732860803604126,1,-1.9779871106147766
26,1.9194608926773071,0,-0.6787650883197784
27,-1.1879768371582031,1,-1.0729260444641113
28,0.07941126823425293,1,-0.7301461398601532
29,-0.8419513702392578,1,-1.023684322834015
30,1.266860842704773,0,-0.8503990173339844
31,-0.8318438529968262,1,-0.9656469821929932
32,0.9693955183029175,0,-0.7423191964626312
33,-1.4440618753433228,1,-1.1062947511672974
34,1.9469597339630127,1,-0.41577211022377014
35,-0.6298818588256836,1,-0.6367048025131226
36,1.5461961030960083,1,-1.616328775882721
37,-0.5675044059753418,1,-0.8522643744945526
38,1.102507472038269,1,-1.0024054944515228
39,-2.099672555923462,0,-0.7084385752677917
