index,logodds,correct,total_logprob
0,0.4026681184768677,0,-0.813393235206604
1,0.03319263458251953,0,-1.0808616876602173
2,-0.7199134826660156,0,-0.7483221888542175
3,-0.5792444944381714,0,-0.9266992807388306
4,-0.1041727066040039,1,-0.5674268007278442
5,0.0859154462814331,0,-0.7778258323669434
6,-0.6087998151779175,0,-0.8165361881256104
7,-0.21257197856903076,0,-0.8613784313201904
8,1.180612564086914,0,-0.4415365755558014
9,0.8549891710281372,0,-0.749313235282898
10,0.16560471057891846,1,-0.47643375396728516
11,0.32206904888153076,1,-0.7307674884796143
12,-0.538442850112915,1,-1.0999031066894531
13,-0.6271317005157471,1,-1.3970410823822021
14,-1.279923439025879,0,-0.7719422578811646
15,-0.9080029726028442,0,-1.1282235383987427
16,0.2145148515701294,0,-0.9106093645095825
17,0.19181358814239502,0,-1.3763507604599
18,0.5591803789138794,1,-0.8178616166114807
19,0.2635831832885742,1,-1.0099085569381714
20,0.11748981475830078,0,-1.0771327018737793
21,-0.29590344429016113,1,-1.4837753772735596
22,-0.46846020221710205,0,-1.2246251106262207
23,-0.49181461334228516,0,-1.36448335647583
24,0.15947437286376953,1,-0.9861500263214111
25,0.05840766429901123,1,-1.2420583963394165
26,-0.22682666778564453,0,-0.8579301238059998
27,-0.28611457347869873,0,-1.009422779083252
28,0.4296083450317383,0,-0.9446858167648315
29,0.1269921064376831,0,-1.1477181911468506
30,-0.4120502471923828,0,-0.8002153635025024
31,-0.0040961503982543945,0,-0.9271724820137024
32,1.7083628177642822,0,-0.8587297201156616
33,1.1288422346115112,0,-1.5257400274276733
34,0.41354548931121826,1,-0.6776765584945679
35,0.48473072052001953,1,-0.896947979927063
36,0.20331287384033203,0,-0.6747469305992126
37,0.47322559356689453,0,-1.1189610958099365
38,0.5246437788009644,1,-0.5957993865013123
39,0.7474936246871948,1,-0.9044572114944458
