index,logodds_difference,correct,total_logprob
0,8.174910545349121,1,-2.6087371110916138
1,7.394055366516113,1,-3.016133666038513
2,9.427236557006836,1,-2.7705661058425903
3,8.286543846130371,1,-4.322631239891052
4,9.392362594604492,0,-5.249642968177795
5,5.405082702636719,1,-4.476627349853516
6,3.6236367225646973,0,-6.12249493598938
7,4.840610027313232,1,-5.396890640258789
8,7.965627193450928,1,-3.1690292954444885
9,5.511716842651367,1,-6.047391653060913
10,5.972862720489502,1,-5.011883735656738
11,5.034019470214844,1,-4.912536978721619
12,6.25142240524292,1,-3.879538893699646
13,1.282254695892334,1,-4.110232830047607
14,5.9368486404418945,0,-4.916368246078491
15,5.732702255249023,1,-3.344811201095581
16,4.352079391479492,0,-5.3168418407440186
17,3.070070266723633,1,-6.659570693969727
18,5.155893325805664,0,-5.7917704582214355
19,1.0956048965454102,1,-7.114790916442871
20,3.4459733963012695,0,-7.300740718841553
21,3.2802000045776367,1,-10.06954574584961
22,9.833414077758789,1,-4.2948784828186035
23,5.410411834716797,1,-5.142629623413086
24,7.411857604980469,0,-5.160634756088257
25,3.8389692306518555,1,-8.223436832427979
26,6.630947589874268,0,-3.9850741624832153
27,0.34763383865356445,1,-7.390391826629639
28,4.683931350708008,1,-3.5465712547302246
29,2.730318069458008,1,-6.4989705085754395
30,10.676704406738281,0,-3.4347493946552277
31,3.07833194732666,1,-2.4680572152137756
32,1.8067021369934082,0,-7.239249229431152
33,3.047210693359375,1,-11.146581649780273
34,9.26580810546875,1,-2.815252900123596
35,0.30767083168029785,1,-4.398123860359192
36,8.977582931518555,1,-5.004894584417343
37,0.6175270080566406,1,-4.293259382247925
38,5.304975509643555,0,-6.151667594909668
39,-4.367302894592285,1,-7.007256269454956
