index,logodds_difference,correct,total_logprob
0,-0.20178890228271484,1,-4.269454002380371
1,0.3749871253967285,0,-5.300353050231934
2,0.13758468627929688,1,-9.137227535247803
3,-0.04025077819824219,0,-9.752357482910156
4,0.2022266387939453,0,-5.698202133178711
5,-0.6386022567749023,1,-6.377271890640259
6,1.0927143096923828,1,-8.070640325546265
7,-0.899317741394043,0,-8.307904720306396
8,-1.9645490646362305,1,-6.650754451751709
9,0.09735345840454102,0,-6.261104106903076
10,-2.4752211570739746,1,-5.3033177852630615
11,1.4220666885375977,0,-5.212893009185791
12,-3.5698647499084473,1,-6.92914342880249
13,0.69757080078125,0,-7.852466106414795
14,0.3760414123535156,1,-5.722774982452393
15,0.5226869583129883,0,-5.492209434509277
16,-0.20209693908691406,1,-9.264105796813965
17,0.997166633605957,0,-6.950831890106201
18,-1.2653183937072754,1,-4.537784576416016
19,1.1537790298461914,0,-5.439590692520142
20,-1.3761768341064453,1,-9.436625003814697
21,0.6585159301757812,0,-7.70989727973938
22,-1.2452211380004883,1,-10.098625183105469
23,-0.02057170867919922,0,-8.019014358520508
24,-0.38751745223999023,1,-8.2972571849823
25,0.5359830856323242,0,-8.551920890808105
26,-0.26140880584716797,0,-8.067058324813843
27,-1.5048613548278809,0,-8.711547136306763
28,-1.876267910003662,0,-5.681265592575073
29,0.36829280853271484,1,-6.981513261795044
30,-0.9915375709533691,1,-7.0081915855407715
31,0.19717168807983398,1,-5.851395606994629
32,0.6248741149902344,0,-7.0575079917907715
33,0.8744306564331055,1,-7.582320213317871
34,-0.8923735618591309,1,-7.216687917709351
35,1.1572542190551758,0,-7.867825746536255
36,-0.6202411651611328,1,-6.467961072921753
37,1.8331737518310547,0,-7.883875846862793
38,-0.9379148483276367,1,-10.090273380279541
39,2.0127172470092773,0,-5.419088363647461
