index,logodds_difference,correct,total_logprob
0,0.24878692626953125,1,-0.5178777277469635
1,0.37261962890625,0,-0.5216537415981293
2,0.054107666015625,1,-0.760442852973938
3,0.16857904195785522,0,-0.7579119503498077
4,0.0274200439453125,1,-0.5125090926885605
5,0.2407989501953125,0,-0.5486386567354202
6,0.06639862060546875,1,-0.6754364371299744
7,0.374229371547699,0,-0.6975210607051849
8,0.23992919921875,0,-0.7980201244354248
9,0.19345086812973022,0,-0.720607340335846
10,0.2209930419921875,1,-1.3353160619735718
11,0.4173431396484375,0,-1.335612714290619
12,0.047119140625,0,-1.1523608565330505
13,0.27074432373046875,1,-1.0926980376243591
14,0.06522363424301147,1,-0.5237893015146255
15,0.1471099853515625,0,-0.5624851286411285
16,0.3929137587547302,1,-1.2302930355072021
17,0.04782867431640625,0,-1.1781959533691406
18,0.36562347412109375,0,-1.0144567489624023
19,0.01207733154296875,1,-1.0651080906391144
20,0.14856719970703125,0,-1.066884607076645
21,0.345550537109375,1,-0.7479293048381805
22,0.14087677001953125,1,-1.41243177652359
23,0.0491943359375,0,-1.5133016705513
24,0.121246337890625,0,-1.3249751329421997
25,0.36887359619140625,0,-1.016952931880951
26,0.16518402099609375,1,-1.0065045356750488
27,0.4561004638671875,0,-1.027425080537796
28,0.0706634521484375,0,-1.0313003063201904
29,0.31560516357421875,1,-1.0460529923439026
30,0.1943359375,0,-1.2228529453277588
31,0.2135009765625,0,-1.217149794101715
32,0.044921875,0,-1.15169095993042
33,0.30388641357421875,0,-1.3611524105072021
34,0.45807647705078125,1,-1.7790737748146057
35,0.2186126708984375,0,-1.7230437994003296
36,0.3969879150390625,1,-0.7629254162311554
37,0.3513946533203125,1,-0.6374775767326355
38,0.5440216064453125,0,-1.4116607308387756
39,0.48819732666015625,1,-1.5523337721824646
